Id,SalePrice
1461,128034.75
1462,161053.34
1463,175115.06
1464,186101.77
1465,173604.36
1466,163969.6
1467,170972.05
1468,160626.4
1469,165210.36
1470,126848.375
1471,198083.45
1472,97811.79
1473,96017.305
1474,149864.39
1475,115705.09
1476,390095.25
1477,256750.45
1478,304758.1
1479,260108.47
1480,470522.84
1481,320987.28
1482,200487.95
1483,167721.86
1484,160227.38
1485,163953.6
1486,175256.38
1487,343795.7
1488,230592.64
1489,210018.31
1490,218360.8
1491,173182.86
1492,95213.22
1493,177107.17
1494,297164.4
1495,292643.0
1496,239061.02
1497,182938.86
1498,159267.19
1499,151005.3
1500,151238.97
1501,175032.75
1502,154340.52
1503,307038.3
1504,232648.06
1505,229107.5
1506,187724.02
1507,236457.72
1508,199575.77
1509,160985.98
1510,148112.98
1511,145820.8
1512,167867.2
1513,131404.11
1514,164518.78
1515,178807.14
1516,157368.94
1517,153303.6
1518,131685.36
1519,222630.11
1520,134507.84
1521,135642.7
1522,163784.44
1523,108337.2
1524,122902.375
1525,119618.31
1526,119301.73
1527,105105.234
1528,131179.4
1529,143402.69
1530,165897.42
1531,102638.56
1532,105598.77
1533,148410.05
1534,114602.73
1535,157274.36
1536,115929.65
1537,65708.12
1538,187902.58
1539,208206.44
1540,99714.33
1541,150507.94
1542,143737.42
1543,220050.4
1544,83908.85
1545,105002.64
1546,127558.1
1547,141071.47
1548,136750.22
1549,116364.57
1550,143843.64
1551,110117.234
1552,137052.53
1553,152667.83
1554,112006.96
1555,174405.11
1556,83221.59
1557,97480.12
1558,88510.05
1559,88489.945
1560,135963.16
1561,149440.03
1562,120625.28
1563,119388.89
1564,157363.56
1565,146557.95
1566,233221.1
1567,68081.91
1568,226626.31
1569,140084.61
1570,132661.11
1571,125821.086
1572,147942.14
1573,247875.47
1574,97532.8
1575,214926.75
1576,217222.3
1577,198192.12
1578,139300.03
1579,142652.14
1580,176161.48
1581,147061.61
1582,127423.91
1583,307624.62
1584,221072.44
1585,140052.66
1586,65071.453
1587,92638.59
1588,149304.05
1589,95596.47
1590,126055.34
1591,99850.71
1592,118633.38
1593,116549.78
1594,170079.52
1595,94687.79
1596,232215.47
1597,170919.25
1598,188884.23
1599,179492.67
1600,161610.61
1601,70355.82
1602,115054.8
1603,79199.41
1604,274595.28
1605,245265.17
1606,170411.03
1607,143023.77
1608,205913.39
1609,186376.17
1610,153764.0
1611,135986.7
1612,156039.3
1613,156088.23
1614,123179.69
1615,89002.08
1616,70775.1
1617,86374.9
1618,126057.75
1619,137432.45
1620,145400.75
1621,132021.78
1622,137578.67
1623,307628.56
1624,197421.34
1625,121467.234
1626,162493.4
1627,180097.03
1628,269474.97
1629,167140.44
1630,373598.22
1631,211333.52
1632,249147.56
1633,157363.77
1634,175641.56
1635,169376.55
1636,156100.86
1637,170715.38
1638,175787.39
1639,172602.11
1640,262487.72
1641,172675.75
1642,216040.03
1643,221884.8
1644,225922.14
1645,186363.06
1646,152830.55
1647,140970.77
1648,135554.56
1649,135982.72
1650,111517.87
1651,118877.28
1652,91090.55
1653,95797.484
1654,141086.31
1655,139532.66
1656,140815.19
1657,142001.83
1658,138370.27
1659,122556.805
1660,148290.8
1661,458694.72
1662,410866.53
1663,384480.1
1664,481847.47
1665,330508.5
1666,320719.16
1667,375965.84
1668,331959.62
1669,299994.66
1670,350960.84
1671,257750.4
1672,526698.06
1673,288487.34
1674,247279.11
1675,181350.78
1676,195000.53
1677,214776.38
1678,494408.8
1679,399557.28
1680,336050.6
1681,260697.3
1682,289938.88
1683,162912.23
1684,159012.31
1685,161040.86
1686,162806.39
1687,155794.33
1688,173794.38
1689,175345.27
1690,171958.55
1691,170842.5
1692,259265.89
1693,152889.33
1694,173945.38
1695,158684.44
1696,264218.72
1697,160895.06
1698,373718.8
1699,324369.2
1700,237359.33
1701,251199.7
1702,248339.97
1703,245818.19
1704,289073.84
1705,222055.17
1706,475661.16
1707,224317.66
1708,217323.89
1709,285948.8
1710,223006.03
1711,265633.0
1712,251034.23
1713,261118.25
1714,220145.55
1715,212786.52
1716,190435.62
1717,163509.62
1718,133151.95
1719,170487.11
1720,245202.23
1721,156706.58
1722,125448.29
1723,151408.17
1724,204509.23
1725,222862.52
1726,180401.77
1727,157043.83
1728,167790.75
1729,155364.53
1730,151306.1
1731,119821.96
1732,126920.8
1733,112244.34
1734,123285.766
1735,128440.07
1736,115165.945
1737,362899.47
1738,207659.83
1739,302450.2
1740,212725.5
1741,188032.42
1742,174001.36
1743,177758.19
1744,310995.53
1745,223860.8
1746,200583.9
1747,199781.11
1748,206243.66
1749,153480.44
1750,131426.23
1751,216449.7
1752,118297.88
1753,137536.95
1754,190820.3
1755,171590.4
1756,127199.66
1757,120020.61
1758,144798.08
1759,154280.69
1760,162631.05
1761,131820.9
1762,159757.86
1763,169818.81
1764,111350.016
1765,162767.03
1766,165902.31
1767,195124.0
1768,144074.7
1769,165737.42
1770,140658.27
1771,126290.54
1772,130890.74
1773,140417.67
1774,112460.36
1775,138114.47
1776,124997.98
1777,110656.75
1778,135426.67
1779,112069.87
1780,165914.11
1781,128930.46
1782,89060.39
1783,135856.86
1784,98529.914
1785,126449.76
1786,151707.14
1787,153922.12
1788,46514.22
1789,93872.88
1790,78392.555
1791,170432.12
1792,155152.66
1793,122388.31
1794,150967.67
1795,129277.625
1796,113456.914
1797,118438.805
1798,126084.164
1799,112807.16
1800,121256.26
1801,120461.43
1802,133595.95
1803,135772.38
1804,143515.03
1805,126856.9
1806,113557.55
1807,134966.31
1808,117885.164
1809,112708.234
1810,150636.27
1811,107169.04
1812,102331.84
1813,122762.44
1814,100609.69
1815,49576.57
1816,103565.66
1817,112880.38
1818,136352.06
1819,120103.055
1820,58454.65
1821,106984.24
1822,154003.39
1823,36211.773
1824,141053.27
1825,139681.6
1826,101102.445
1827,100474.94
1828,137356.33
1829,115971.69
1830,155578.1
1831,152004.77
1832,92110.46
1833,140619.92
1834,109252.51
1835,147637.45
1836,124177.18
1837,88198.03
1838,120090.67
1839,90308.805
1840,174138.66
1841,145016.38
1842,79509.5
1843,132119.44
1844,130660.01
1845,129890.78
1846,152189.8
1847,149565.58
1848,46974.316
1849,113166.81
1850,120807.59
1851,160039.61
1852,128169.63
1853,121883.56
1854,163350.94
1855,130366.87
1856,209447.72
1857,134738.45
1858,129404.36
1859,114567.9
1860,150350.64
1861,113845.83
1862,296338.84
1863,294408.06
1864,294724.97
1865,313056.62
1866,321206.12
1867,228445.25
1868,310783.34
1869,203614.95
1870,243448.22
1871,242848.89
1872,162427.98
1873,230158.27
1874,137782.98
1875,200387.2
1876,178547.89
1877,205683.56
1878,205453.75
1879,132837.05
1880,139876.39
1881,232944.58
1882,245162.95
1883,183168.03
1884,196151.75
1885,251600.62
1886,305069.97
1887,199920.22
1888,271491.75
1889,145750.67
1890,124448.58
1891,141524.53
1892,99399.53
1893,126021.72
1894,124735.04
1895,138920.58
1896,125321.41
1897,112180.98
1898,97437.56
1899,143839.64
1900,131599.22
1901,172580.27
1902,128204.89
1903,205887.7
1904,137665.6
1905,185361.64
1906,177567.69
1907,191922.53
1908,114026.62
1909,136041.33
1910,124248.23
1911,192217.9
1912,277755.9
1913,123241.08
1914,55309.797
1915,345227.44
1916,58354.387
1917,255128.86
1918,134338.52
1919,159746.19
1920,128761.59
1921,429068.7
1922,325424.34
1923,201452.14
1924,214400.73
1925,191900.55
1926,387388.25
1927,127117.28
1928,148668.05
1929,119769.65
1930,124784.555
1931,135008.08
1932,129045.055
1933,173586.73
1934,174265.45
1935,167446.3
1936,178405.11
1937,171650.16
1938,161146.88
1939,233836.17
1940,176158.25
1941,169592.7
1942,182253.73
1943,186224.5
1944,327511.2
1945,380755.28
1946,139910.42
1947,325074.6
1948,180369.5
1949,227067.94
1950,173392.4
1951,265204.75
1952,225447.86
1953,168277.81
1954,165596.88
1955,130529.82
1956,284629.78
1957,158385.9
1958,310882.56
1959,134629.08
1960,112712.53
1961,115347.24
1962,92952.56
1963,102535.6
1964,113340.94
1965,144389.62
1966,136151.44
1967,292746.72
1968,461270.06
1969,407167.28
1970,458133.25
1971,451080.3
1972,400481.8
1973,251259.56
1974,320996.97
1975,502735.3
1976,264713.84
1977,354138.75
1978,393962.1
1979,314797.97
1980,186658.36
1981,337758.66
1982,231563.11
1983,207626.14
1984,152552.06
1985,217801.61
1986,208875.6
1987,169494.22
1988,170178.97
1989,174523.69
1990,197693.88
1991,250672.66
1992,198224.14
1993,152023.33
1994,227396.31
1995,164531.81
1996,227633.94
1997,315862.84
1998,342410.3
1999,254161.6
2000,303006.53
2001,255172.27
2002,243788.89
2003,244860.17
2004,268882.25
2005,217657.38
2006,242055.89
2007,237656.47
2008,213648.89
2009,185443.89
2010,178658.8
2011,135934.62
2012,175905.27
2013,176947.25
2014,178700.55
2015,188574.61
2016,191866.56
2017,180410.56
2018,116164.01
2019,134046.58
2020,108547.625
2021,113887.43
2022,183781.34
2023,138868.86
2024,225714.81
2025,365968.84
2026,169601.94
2027,148202.28
2028,151377.14
2029,174197.11
2030,271539.25
2031,254343.89
2032,283046.4
2033,260658.81
2034,156649.28
2035,213940.86
2036,182206.83
2037,193637.98
2038,313592.06
